コード	企業名	分類	分類根拠	ニッチ	ニッチ根拠	保証
141A	トライアルホールディングス	多店舗展開型	小売店舗の出店で売上が積み上がる。ただし小売は競争が激しく、著者が投資対象から外している業種
160A	アズパートナーズ	ストック型／多店舗展開型	介護付きホームの月額利用料が継続収入。施設を増やすほど積み上がる
1879	新日本建設	その他	建設と不動産開発が主体。受注型で継続課金ではない ※事業内容データが無く一般知識から推定
212A	フィットイージー	ストック型／多店舗展開型	フィットネスクラブの月会費が継続収入。FC含め店舗数の拡大で伸びる
319A	技術承継機構	その他	製造業を譲り受けて経営支援するロールアップ型。継続課金でも店舗展開でもない	該当	後継者不在の製造業承継という狭い領域に特化している
324A	ブッキングリゾート	その他	宿泊施設の集客支援は成果報酬が中心で、積み上がり方が読みにくい
3300	ＡＭＢＩＴＩＯＮ	ストック型	賃貸管理の管理料が継続収入 ※事業内容データが無く一般知識から推定
3496	アズーム	ストック型	月極駐車場のサブリース。契約が増えるほど賃料収入が積み上がる典型例	該当	月極駐車場のサブリースという大手が参入しにくい領域で優位
350A	デジタルグリッド	ストック型	電力取引プラットフォームの利用が継続的に発生する	該当	電力および環境価値の取引基盤という専門性の高い領域
353A	エレベーターコミュニケーションズ	ストック型	昇降機の保守管理契約が継続収入。管理台数に比例して伸びる	該当	独立系の昇降機保守という限られた市場
3624	アクセルマーク	その他	ゲームと広告が主体で継続課金の積み上がりが弱い ※事業内容データが無く一般知識から推定
369A	エータイ	その他	永代供養墓の募集代行。都度の販売が中心で継続課金ではない	該当	永代供養墓に特化しており競合が限られる
3774	IIJ	ストック型	ネットワークサービスの月額利用料が継続収入 ※事業内容データが無く一般知識から推定
4480	メドレー	ストック型	採用システムとクラウド診療支援のSaaS。継続課金が積み上がる
469A	フィットクルー	多店舗展開型	パーソナルジムの出店で伸びる。スクール運営も併営
4809	パラカ	ストック型／多店舗展開型	コインパーキングの運営。駐車場を増やすほど収入が積み上がる ※事業内容データが無く一般知識から推定
558A	SQUEEZE	ストック型／多店舗展開型	自社ホテルの運営に加え、システム提供が継続収入になる
5592	くすりの窓口	ストック型	薬局・医療・介護向けソリューションの継続利用
5843	ニッポンインシュア	ストック型	家賃債務保証。保証件数が積み上がるほど保証料収入が伸びる			該当
5870	ナルネットコミュニケーションズ	ストック型	車両管理・メンテナンス管理の受託が継続収入
6098	リクルートホールディングス	ストック型	HR領域のプラットフォーム利用が継続収入 ※事業内容データが無く一般知識から推定
6099	エラン	ストック型	病院・介護施設向けの入院セットのレンタルが継続収入 ※事業内容データが無く一般知識から推定	該当	入院時の身の回り品レンタルという特化した領域
6574	コンヴァノ	多店舗展開型	ネイルサロンの出店で伸びる
7115	アルファパーチェス	ストック型	ファシリティマネジメントの受託が継続収入。間接材の物販も反復購買
7191	イントラスト	ストック型	総合保証サービス。保証件数の積み上がりが収入になる			該当
7320	日本リビング保証	ストック型	住宅設備の保証サービス。保証契約が積み上がる	該当	住宅設備の保証という限られた市場で展開	該当
7388	FPパートナー	営業人員依存型	ファイナンシャルプランナーの採用と育成が売上に直結する
8037	カメイ	その他	石油・食品などの商社。継続課金の積み上がりではない ※事業内容データが無く一般知識から推定
9158	シーユーシー	ストック型／多店舗展開型	医療機関支援と訪問看護・ホスピスの拠点展開。継続的な支援料が収入
9166	GENDA	多店舗展開型	アミューズメント施設を約250店舗運営し、出店とM&Aで拡大
9346	ココルポート	ストック型／多店舗展開型	障がい福祉サービスの事業所展開。給付費が継続的に入る
9388	パパネッツ	ストック型	物件定期巡回など不動産管理サポートの受託が継続収入
