コード	業種	事業内容
1375	水産・農林業	まいたけ、エリンギ、ぶなしめじなどの生産販売、および、キノコの加工食品の製造販売
1887	建設業	土木・建築工事の施工管理および建築設計業務を中心とした総合建設業
3134	小売業	モバイルアクセサリーの企画・販売を行うコマース事業、EC事業者向けクラウド型業務マネジメントサービスを開発・提供するプラットフォーム事業
3447	金属製品	主に仮設資材、物流機器を中心とした金属製品の製造販売
3465	不動産業	分譲住宅、注文住宅、中古住宅、マンション販売、その他の総合不動産事業
3491	不動産業	中古不動産流通プラットフォーム『リノシー』の開発・運営、プラットフォームを通じた中古不動産の売買仲介およびリノベーションの企画・設計・施行
3539	小売業	食品スーパーマーケットジャパンミート『生鮮館』、ジャパンミート『卸売市場』、『肉のハナマサ』及び『パワーマート』の経営、焼肉レストランの経営
3540	卸売業	医療関係者向け通信販売事業など
3542	小売業	家具・インテリア等のインターネット通信販売事業、越境市場をターゲットとしたグローバルECサイトの運営等
3566	小売業	業務用ユニフォームの通信販売
3913	情報・通信業	マルチメディア、ネットワークに関する技術を中心としたソフトウエアの開発及び販売
3917	情報・通信業	スマートフォンをプラットフォームとしたＯ２Ｏソリューション「popinfo」の提供、集客・販促向け企画提案・運用等
3924	情報・通信業	各種コンピュータシステムに関するコンサルティング、企画、設計並びにソフトウェア販売及び運用、保守管理
3926	情報・通信業	総合旅行情報サイト『トラベルコちゃん』等の運営
3935	情報・通信業	ゲームサービス事業、ライフサポートサービス事業
3936	情報・通信業	ソーシャル・ウェブメディア事業(働く人のための情報プラットフォーム『キャリコネ』の運営および有料職業紹介サービスの提供)、ビジネス・ウェブアプリケーション事業(クラウド型業務用ソフトウェアのカスタマイズ開発、導入支援および自社開発したソフトウェアのライセンス販売)
3937	情報・通信業	フィリピン子会社を活用したシステムソリューションの提供及び医療情報システムのソフトウェア商品の開発・販売等
3940	情報・通信業	SAP ERPの導入コンサルティング及び保守サービス等のERPソリューション事業
3974	情報・通信業	美容サロン向けＩＣＴ事業、中小企業向けビジネスサービス事業及び介護サービス事業
3984	情報・通信業	ビッグデータの解析・人工知能による情報提供サービス
3985	情報・通信業	リピートに特化したEC事業者支援サービス（定期通販システム『たまごリピート』、Web接客システム『ヒキアゲール』など）の提供
3989	情報・通信業	ライフサービス領域に関する『バーティカルメディアサイト』および総合プラットフォームサイト『生活110番』の運営、WEB集客にかかるコンサルティング業務など
4011	情報・通信業	AIソリューション事業
4014	情報・通信業	妊娠育児ママ層向けのアプリ提供および家族向けサービスを展開する企業へのプロモーション支援事業
4019	情報・通信業	エンゲージメント経営プラットフォーム『TUNAG』の開発および提供など
4166	情報・通信業	データサイエンスの技術とノウハウをもとに、アルゴリズムおよびソフトウェアを開発・提供することで、企業の問題解決やチャレンジを支援する『SaaS型アルゴリズム提供事業』
4398	情報・通信業	セキュリティ監査・コンサルティングサービス、脆弱性診断サービス、情報漏洩IT対策サービス、（マネージドサービス、セキュアメールサービス、マルウェア検知サービス、フォレンジックサービス他）
4420	情報・通信業	組込み機器向けのOS開発、組込みソフトウェアの受託開発など
4421	情報・通信業	システムインテグレーション事業および教育サービス事業
4422	情報・通信業	特許・文書解析ツール「TechRadar」、「DocRadar」のASPライセンスサービスおよびこれを用いたコンサルティングサービスの提供
4440	情報・通信業	組込み製品のソフトウェアおよびリアルタイムOSの受託開発と販売、組込みソフトウェアなどの研究開発
4442	情報・通信業	ソフトウェアテストを中心としたソフトウェアの品質に関する総合的なサービスの提供
4445	情報・通信業	WEBテクノロジーと不動産を融合した不動産会社比較バーティカルメディア『リビンマッチ』の企画・開発・運営など
4448	情報・通信業	ビジネスチャットツール『Chatwork』の開発・提供、セキュリティソフトウェア『ESET』の代理販売
4450	情報・通信業	金融機関に向けた業務コンサルティング・システムの受託開発・運用保守サービス及び業務のアウトソーシング受託、並びに法人に向けたRPAライセンスの販売及び導入サポート
